height,lightning_nodes,lightning_channels,segwit_percentage,segwit_inputs,total_inputs,lightning_channels_funded
510612,655,3849,7.55,326,4317,11
510611,655,3849,7.57,323,4266,3
510610,655,3849,6.47,254,3923,3
510608,655,3849,21.44,1063,4957,12
510607,655,3849,17.25,883,5119,9
510606,655,3849,9.80,447,4559,8
510605,654,3847,4.54,177,3896,2
510604,654,3843,100.00,1,1,0
510602,652,3843,4.86,186,3830,2
510602,652,3843,4.86,186,3830,2
510601,652,3843,0.17,6,3429,0
510598,652,3843,3.96,159,4020,3
510597,652,3835,5.18,203,3919,1
510596,651,3835,1.78,65,3644,1
510595,651,3835,8.97,346,3857,0
510594,651,3835,7.28,291,3999,0
510593,651,3833,12.17,155,1274,3
510592,651,3833,12.42,586,4717,7
510591,651,3833,3.99,155,3888,1
510590,651,3833,11.42,451,3950,2
510589,651,3833,13.82,691,4999,7
510588,651,3833,20.37,1112,5459,5
510587,651,3833,13.33,660,4953,2
510585,651,3829,16.22,761,4691,4
510584,651,3829,9.39,426,4538,1
510583,651,3827,18.38,992,5397,6
510581,649,3823,4.78,187,3911,4
510580,649,3821,8.30,436,5251,0
510578,649,3821,22.98,1166,5075,4
510577,649,3819,6.43,347,5400,5
510576,649,3819,17.58,972,5528,6
510575,649,3819,9.79,507,5181,7
510574,648,3817,9.45,399,4223,4
510573,648,3817,13.83,744,5380,5
510572,648,3817,26.87,1520,5656,10
510571,648,3815,8.46,392,4632,1
510570,648,3801,11.42,641,5613,7
510569,648,3801,7.21,308,4274,6
510568,647,3801,8.56,379,4428,7
510567,646,3787,3.21,117,3645,4
510566,646,3787,7.68,441,5744,6
510565,646,3787,5.74,330,5747,11
510564,646,3785,3.75,238,6347,1
510563,646,3785,8.26,491,5942,8
510562,646,3785,13.17,667,5066,13
510561,646,3785,13.07,553,4230,10
510560,645,3783,15.81,896,5668,7
510559,645,3783,6.14,349,5682,3
510558,645,3783,2.37,110,4641,4
510557,645,3781,7.98,428,5366,8
510556,645,3781,10.08,536,5316,10
510555,645,3781,4.41,233,5282,1
510553,644,3779,5.27,329,6240,6
510551,644,3779,9.60,405,4217,8
510550,644,3779,12.73,643,5051,14
510549,644,3779,10.05,252,2507,4
510545,644,3779,23.23,635,2734,7
510543,644,3779,7.51,166,2211,3
510542,643,3777,37.11,2163,5828,1
510539,643,3775,15.96,867,5433,5
510538,643,3775,15.27,872,5710,7
510537,643,3775,9.02,490,5435,2
510532,643,3771,43.72,2705,6187,5
510530,643,3769,5.77,320,5543,2
510529,643,3769,10.16,556,5473,2
510526,643,3769,0.25,14,5520,1
510524,643,3769,4.94,273,5529,13
510523,643,3769,2.47,136,5507,1
510522,643,3767,4.49,257,5730,6
510520,643,3767,7.92,439,5541,3
510519,643,3767,9.73,538,5527,2
510518,643,3767,10.97,606,5522,7
510515,643,3767,1.26,82,6488,3
510514,643,3767,6.47,396,6116,12
510513,643,3767,2.52,160,6353,9
510512,643,3767,5.38,339,6299,18
510510,643,3767,0.15,10,6730,7
510508,643,3767,0.11,7,6390,0
510503,643,3767,1.63,109,6690,3
510501,643,3767,1.86,124,6655,5
510500,643,3767,0.49,33,6683,2
